case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.20462962962962963,221,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20555555555555555,222,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2064814814814815,223,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2074074074074074,224,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20833333333333334,225,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20925925925925926,226,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2101851851851852,227,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2111111111111111,228,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21203703703703702,229,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21296296296296297,230,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21388888888888888,231,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21481481481481482,232,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21574074074074073,233,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21666666666666667,234,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2175925925925926,235,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21851851851851853,236,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.21944444444444444,237,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22037037037037038,238,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2212962962962963,239,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2222222222222222,240,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22314814814814815,241,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22407407407407406,242,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.225,243,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22592592592592592,244,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22685185185185186,245,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22777777777777777,246,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22870370370370371,247,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.22962962962962963,248,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23055555555555557,249,0.0,#4C78A8
